Приволжский ФО , Самара , ЦГиЭ;;;;;;;;;;;;;;;;
;;Число образцов тестированных на грипп;A (субтип не определен);A(H1)pdm09;A(H3);B;Число образцов тестированных на другие ОРВИ;Парагрипп;Аденовирус;РС-вирус;Риновирус;Коронавирус;Метапневмовирус;Бокавирус;Число образцов тестированных на COVID-19;COVID-19
;;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего
2020.16 (13.04.2020 - 19.04.2020);Н;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020.17 (20.04.2020 - 26.04.2020);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020.18 (27.04.2020 - 03.05.2020);;;;;;;;;;;;;;;;
2020.19 (04.05.2020 - 10.05.2020);Н;12;0;0;0;0;12;0;0;0;0;0;0;0;0;0
2020.20 (11.05.2020 - 17.05.2020);;;;;;;;;;;;;;;;
2020.21 (18.05.2020 - 24.05.2020);;;;;;;;;;;;;;;;
2020.22 (25.05.2020 - 31.05.2020);;;;;;;;;;;;;;;;
2020.23 (01.06.2020 - 07.06.2020);;;;;;;;;;;;;;;;
2020.24 (08.06.2020 - 14.06.2020);;;;;;;;;;;;;;;;
2020.25 (15.06.2020 - 21.06.2020);;;;;;;;;;;;;;;;
2020.26 (22.06.2020 - 28.06.2020);;;;;;;;;;;;;;;;
2020.27 (29.06.2020 - 05.07.2020);;;;;;;;;;;;;;;;
2020.28 (06.07.2020 - 12.07.2020);;;;;;;;;;;;;;;;
2020.29 (13.07.2020 - 19.07.2020);;;;;;;;;;;;;;;;
2020.30 (20.07.2020 - 26.07.2020);Н;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020.31 (27.07.2020 - 02.08.2020);;;;;;;;;;;;;;;;
2020.32 (03.08.2020 - 09.08.2020);;;;;;;;;;;;;;;;
2020.33 (10.08.2020 - 16.08.2020);;;;;;;;;;;;;;;;
2020.34 (17.08.2020 - 23.08.2020);;;;;;;;;;;;;;;;
2020.35 (24.08.2020 - 30.08.2020);;;;;;;;;;;;;;;;
2020.36 (31.08.2020 - 06.09.2020);;;;;;;;;;;;;;;;
2020.37 (07.09.2020 - 13.09.2020);;;;;;;;;;;;;;;;
2020.38 (14.09.2020 - 20.09.2020);;;;;;;;;;;;;;;;
2020.39 (21.09.2020 - 27.09.2020);;;;;;;;;;;;;;;;
2020.40 (28.09.2020 - 04.10.2020);;;;;;;;;;;;;;;;
2020.41 (05.10.2020 - 11.10.2020);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020.42 (12.10.2020 - 18.10.2020);;;;;;;;;;;;;;;;
2020.43 (19.10.2020 - 25.10.2020);;;;;;;;;;;;;;;;
2020.44 (26.10.2020 - 01.11.2020);;;;;;;;;;;;;;;;
2020.45 (02.11.2020 - 08.11.2020);;;;;;;;;;;;;;;;
2020.46 (09.11.2020 - 15.11.2020);;;;;;;;;;;;;;;;
2020.47 (16.11.2020 - 22.11.2020);Н;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020.48 (23.11.2020 - 29.11.2020);;;;;;;;;;;;;;;;
2020.49 (30.11.2020 - 06.12.2020);Н;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020.50 (07.12.2020 - 13.12.2020);;;;;;;;;;;;;;;;
2020.51 (14.12.2020 - 20.12.2020);;;;;;;;;;;;;;;;
2020.52 (21.12.2020 - 27.12.2020);;;;;;;;;;;;;;;;
2020.53 (28.12.2020 - 03.01.2021);;;;;;;;;;;;;;;;
2021.1 (04.01.2021 - 10.01.2021);;;;;;;;;;;;;;;;
2021.2 (11.01.2021 - 17.01.2021);;;;;;;;;;;;;;;;
2021.3 (18.01.2021 - 24.01.2021);;;;;;;;;;;;;;;;
2021.4 (25.01.2021 - 31.01.2021);;;;;;;;;;;;;;;;
2021.5 (01.02.2021 - 07.02.2021);;;;;;;;;;;;;;;;
2021.6 (08.02.2021 - 14.02.2021);;;;;;;;;;;;;;;;
2021.7 (15.02.2021 - 21.02.2021);;;;;;;;;;;;;;;;
2021.8 (22.02.2021 - 28.02.2021);;;;;;;;;;;;;;;;
2021.9 (01.03.2021 - 07.03.2021);;;;;;;;;;;;;;;;
2021.10 (08.03.2021 - 14.03.2021);;;;;;;;;;;;;;;;
2021.11 (15.03.2021 - 21.03.2021);;;;;;;;;;;;;;;;
2021.12 (22.03.2021 - 28.03.2021);;;;;;;;;;;;;;;;
2021.13 (29.03.2021 - 04.04.2021);;;;;;;;;;;;;;;;
2021.14 (05.04.2021 - 11.04.2021);;;;;;;;;;;;;;;;
2021.15 (12.04.2021 - 18.04.2021);;;;;;;;;;;;;;;;
2021.16 (19.04.2021 - 25.04.2021);;;;;;;;;;;;;;;;
2021.17 (26.04.2021 - 02.05.2021);;;;;;;;;;;;;;;;
2021.18 (03.05.2021 - 09.05.2021);;;;;;;;;;;;;;;;
2021.19 (10.05.2021 - 16.05.2021);;;;;;;;;;;;;;;;
2021.20 (17.05.2021 - 23.05.2021);;;;;;;;;;;;;;;;
2021.21 (24.05.2021 - 30.05.2021);;;;;;;;;;;;;;;;
2021.22 (31.05.2021 - 06.06.2021);;;;;;;;;;;;;;;;
2021.23 (07.06.2021 - 13.06.2021);;;;;;;;;;;;;;;;
2021.24 (14.06.2021 - 20.06.2021);;;;;;;;;;;;;;;;
2021.25 (21.06.2021 - 27.06.2021);;;;;;;;;;;;;;;;
2021.26 (28.06.2021 - 04.07.2021);;;;;;;;;;;;;;;;
2021.27 (05.07.2021 - 11.07.2021);;;;;;;;;;;;;;;;
2021.28 (12.07.2021 - 18.07.2021);;;;;;;;;;;;;;;;
2021.29 (19.07.2021 - 25.07.2021);;;;;;;;;;;;;;;;
2021.30 (26.07.2021 - 01.08.2021);;;;;;;;;;;;;;;;
2021.31 (02.08.2021 - 08.08.2021);;;;;;;;;;;;;;;;
2021.32 (09.08.2021 - 15.08.2021);;;;;;;;;;;;;;;;
2021.33 (16.08.2021 - 22.08.2021);;;;;;;;;;;;;;;;
2021.34 (23.08.2021 - 29.08.2021);;;;;;;;;;;;;;;;
2021.35 (30.08.2021 - 05.09.2021);;;;;;;;;;;;;;;;
2021.36 (06.09.2021 - 12.09.2021);;;;;;;;;;;;;;;;
2021.37 (13.09.2021 - 19.09.2021);;;;;;;;;;;;;;;;
2021.38 (20.09.2021 - 26.09.2021);;;;;;;;;;;;;;;;
2021.39 (27.09.2021 - 03.10.2021);;;;;;;;;;;;;;;;
2021.40 (04.10.2021 - 10.10.2021);;;;;;;;;;;;;;;;
2021.41 (11.10.2021 - 17.10.2021);;;;;;;;;;;;;;;;
2021.42 (18.10.2021 - 24.10.2021);;;;;;;;;;;;;;;;
2021.43 (25.10.2021 - 31.10.2021);;;;;;;;;;;;;;;;
2021.44 (01.11.2021 - 07.11.2021);;;;;;;;;;;;;;;;
2021.45 (08.11.2021 - 14.11.2021);;;;;;;;;;;;;;;;
2021.46 (15.11.2021 - 21.11.2021);;;;;;;;;;;;;;;;
2021.47 (22.11.2021 - 28.11.2021);;;;;;;;;;;;;;;;
2021.48 (29.11.2021 - 05.12.2021);Н;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2021.49 (06.12.2021 - 12.12.2021);;;;;;;;;;;;;;;;
2021.50 (13.12.2021 - 19.12.2021);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021.51 (20.12.2021 - 26.12.2021);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021.52 (27.12.2021 - 02.01.2022);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022.1 (03.01.2022 - 09.01.2022);;;;;;;;;;;;;;;;
2022.2 (10.01.2022 - 16.01.2022);;;;;;;;;;;;;;;;
2022.3 (17.01.2022 - 23.01.2022);;;;;;;;;;;;;;;;
2022.4 (24.01.2022 - 30.01.2022);Н;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022.5 (31.01.2022 - 06.02.2022);;;;;;;;;;;;;;;;
2022.6 (07.02.2022 - 13.02.2022);;;;;;;;;;;;;;;;
2022.7 (14.02.2022 - 20.02.2022);;;;;;;;;;;;;;;;
2022.8 (21.02.2022 - 27.02.2022);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022.9 (28.02.2022 - 06.03.2022);;;;;;;;;;;;;;;;
2022.10 (07.03.2022 - 13.03.2022);;;;;;;;;;;;;;;;
2022.11 (14.03.2022 - 20.03.2022);;;;;;;;;;;;;;;;
2022.12 (21.03.2022 - 27.03.2022);;;;;;;;;;;;;;;;
2022.13 (28.03.2022 - 03.04.2022);;;;;;;;;;;;;;;;
2022.14 (04.04.2022 - 10.04.2022);;;;;;;;;;;;;;;;
2022.15 (11.04.2022 - 17.04.2022);;;;;;;;;;;;;;;;
2022.16 (18.04.2022 - 24.04.2022);;;;;;;;;;;;;;;;
2022.17 (25.04.2022 - 01.05.2022);;;;;;;;;;;;;;;;
2022.18 (02.05.2022 - 08.05.2022);Н;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022.19 (09.05.2022 - 15.05.2022);;;;;;;;;;;;;;;;
2022.20 (16.05.2022 - 22.05.2022);;;;;;;;;;;;;;;;
2022.21 (23.05.2022 - 29.05.2022);;;;;;;;;;;;;;;;
2022.22 (30.05.2022 - 05.06.2022);;;;;;;;;;;;;;;;
2022.23 (06.06.2022 - 12.06.2022);;;;;;;;;;;;;;;;
2022.24 (13.06.2022 - 19.06.2022);;;;;;;;;;;;;;;;
2022.25 (20.06.2022 - 26.06.2022);;;;;;;;;;;;;;;;
2022.26 (27.06.2022 - 03.07.2022);;;;;;;;;;;;;;;;
2022.27 (04.07.2022 - 10.07.2022);;;;;;;;;;;;;;;;
2022.28 (11.07.2022 - 17.07.2022);;;;;;;;;;;;;;;;
2022.29 (18.07.2022 - 24.07.2022);;;;;;;;;;;;;;;;
2022.30 (25.07.2022 - 31.07.2022);;;;;;;;;;;;;;;;
2022.31 (01.08.2022 - 07.08.2022);;;;;;;;;;;;;;;;
2022.32 (08.08.2022 - 14.08.2022);;;;;;;;;;;;;;;;
2022.33 (15.08.2022 - 21.08.2022);;;;;;;;;;;;;;;;
2022.34 (22.08.2022 - 28.08.2022);;;;;;;;;;;;;;;;
2022.35 (29.08.2022 - 04.09.2022);;;;;;;;;;;;;;;;
2022.36 (05.09.2022 - 11.09.2022);;;;;;;;;;;;;;;;
2022.37 (12.09.2022 - 18.09.2022);;;;;;;;;;;;;;;;
2022.38 (19.09.2022 - 25.09.2022);;;;;;;;;;;;;;;;
2022.39 (26.09.2022 - 02.10.2022);;;;;;;;;;;;;;;;
2022.40 (03.10.2022 - 09.10.2022);;;;;;;;;;;;;;;;
2022.41 (10.10.2022 - 16.10.2022);;;;;;;;;;;;;;;;
2022.42 (17.10.2022 - 23.10.2022);;;;;;;;;;;;;;;;
2022.43 (24.10.2022 - 30.10.2022);;;;;;;;;;;;;;;;
2022.44 (31.10.2022 - 06.11.2022);;;;;;;;;;;;;;;;
2022.45 (07.11.2022 - 13.11.2022);;;;;;;;;;;;;;;;
2022.46 (14.11.2022 - 20.11.2022);;;;;;;;;;;;;;;;
2022.47 (21.11.2022 - 27.11.2022);;;;;;;;;;;;;;;;
2022.48 (28.11.2022 - 04.12.2022);Н;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022.49 (05.12.2022 - 11.12.2022);;;;;;;;;;;;;;;;
2022.50 (12.12.2022 - 18.12.2022);;;;;;;;;;;;;;;;
2022.51 (19.12.2022 - 25.12.2022);Н;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2022.52 (26.12.2022 - 01.01.2023);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023.1 (02.01.2023 - 08.01.2023);;;;;;;;;;;;;;;;
2023.2 (09.01.2023 - 15.01.2023);;;;;;;;;;;;;;;;
2023.3 (16.01.2023 - 22.01.2023);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023.4 (23.01.2023 - 29.01.2023);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023.5 (30.01.2023 - 05.02.2023);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023.6 (06.02.2023 - 12.02.2023);Н;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023.7 (13.02.2023 - 19.02.2023);Н;66;0;0;0;3;66;3;0;5;0;0;0;0;0;0
2023.8 (20.02.2023 - 26.02.2023);Н;87;0;0;0;3;87;0;0;0;0;0;0;0;0;0
2023.9 (27.02.2023 - 05.03.2023);Н;119;0;0;0;5;28;2;0;1;0;3;1;0;0;0
2023.10 (06.03.2023 - 12.03.2023);Н;46;0;0;0;0;17;0;0;2;1;1;0;0;0;0
2023.11 (13.03.2023 - 19.03.2023);Н;89;0;0;0;1;89;0;0;0;1;0;2;0;0;0
2023.12 (20.03.2023 - 26.03.2023);Н;132;0;0;0;0;132;0;0;5;0;2;0;0;0;0
2023.13 (27.03.2023 - 02.04.2023);Н;62;0;0;0;0;62;1;0;0;0;0;1;0;62;1
2023.14 (03.04.2023 - 09.04.2023);Н;27;0;0;0;0;27;1;0;0;1;0;0;0;27;0
2023.15 (10.04.2023 - 16.04.2023);Н;47;0;0;0;0;47;0;0;0;2;3;0;0;47;0
2023.16 (17.04.2023 - 23.04.2023);Н;22;0;0;0;0;22;0;0;1;1;1;0;1;22;0
2023.17 (24.04.2023 - 30.04.2023);Н;18;0;0;0;0;18;0;0;0;2;0;0;0;18;0
2023.18 (01.05.2023 - 07.05.2023);Н;12;0;0;0;0;12;0;0;0;0;2;0;0;12;0
2023.19 (08.05.2023 - 14.05.2023);Н;12;0;0;0;0;12;0;0;0;1;3;0;0;12;0
2023.20 (15.05.2023 - 21.05.2023);Н;10;0;0;0;0;10;1;0;0;0;0;0;1;0;0
2023.21 (22.05.2023 - 28.05.2023);Н;9;0;0;0;0;9;0;0;0;1;1;0;0;9;1
2023.22 (29.05.2023 - 04.06.2023);Н;5;0;0;0;0;5;2;0;0;0;1;0;1;5;0
2023.23 (05.06.2023 - 11.06.2023);Н;10;0;0;0;0;10;1;0;0;0;0;0;1;10;0
2023.24 (12.06.2023 - 18.06.2023);Н;9;0;0;0;0;9;1;0;0;0;0;0;1;9;0
2023.25 (19.06.2023 - 25.06.2023);Н;8;0;0;0;0;8;1;0;0;0;0;0;0;8;0
2023.26 (26.06.2023 - 02.07.2023);Н;8;0;0;0;0;8;0;0;0;2;0;0;0;8;0
2023.27 (03.07.2023 - 09.07.2023);Н;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0
2023.28 (10.07.2023 - 16.07.2023);Н;40;0;0;0;0;40;2;0;0;4;0;0;0;40;0
2023.29 (17.07.2023 - 23.07.2023);Н;54;0;0;0;0;54;0;0;0;1;0;0;0;54;0
2023.30 (24.07.2023 - 30.07.2023);Н;43;0;0;0;0;43;0;0;0;4;0;0;0;43;0
2023.31 (31.07.2023 - 06.08.2023);Н;55;0;0;0;0;55;2;0;0;5;0;0;0;55;0
2023.32 (07.08.2023 - 13.08.2023);Н;43;0;0;0;0;43;0;0;0;3;0;0;1;43;0
2023.33 (14.08.2023 - 20.08.2023);Н;67;0;0;0;0;67;0;0;0;5;3;0;0;67;0
2023.34 (21.08.2023 - 27.08.2023);Н;99;0;0;0;0;99;2;0;0;9;1;0;3;99;0
2023.35 (28.08.2023 - 03.09.2023);Н;73;0;0;0;0;73;0;0;0;5;2;0;0;73;0
2023.36 (04.09.2023 - 10.09.2023);Н;66;0;0;0;0;66;3;2;0;9;0;0;0;66;0
2023.37 (11.09.2023 - 17.09.2023);;;;;;;;;;;;;;;;
2023.38 (18.09.2023 - 24.09.2023);Н;61;0;0;0;0;61;1;0;0;22;0;0;1;61;0
2023.39 (25.09.2023 - 01.10.2023);Н;57;0;0;0;0;57;1;0;0;28;7;0;1;57;0
2023.40 (02.10.2023 - 08.10.2023);;;;;;;;;;;;;;;;
2023.41 (09.10.2023 - 15.10.2023);Н;81;0;0;0;0;81;0;4;0;21;2;0;2;81;0
2023.42 (16.10.2023 - 22.10.2023);Н;95;0;0;0;0;95;0;0;0;12;0;0;0;95;2
2023.43 (23.10.2023 - 29.10.2023);;;;;;;;;;;;;;;;
2023.44 (30.10.2023 - 05.11.2023);;;;;;;;;;;;;;;;
2023.45 (06.11.2023 - 12.11.2023);Н;317;0;0;1;0;317;0;1;0;13;4;0;2;317;0
2023.46 (13.11.2023 - 19.11.2023);Н;362;0;0;1;0;362;1;4;0;29;7;1;1;362;51
2023.47 (20.11.2023 - 26.11.2023);Н;426;0;0;5;0;426;0;0;0;21;5;0;1;426;46
2023.48 (27.11.2023 - 03.12.2023);Н;476;0;0;9;1;476;0;0;0;21;7;0;0;476;69
2023.49 (04.12.2023 - 10.12.2023);Н;446;0;0;18;0;446;3;2;1;19;15;0;0;446;78
2023.50 (11.12.2023 - 17.12.2023);Н;468;0;0;11;0;468;1;1;3;10;15;0;0;468;78
2023.51 (18.12.2023 - 24.12.2023);Н;743;0;0;30;0;743;2;1;2;6;28;0;0;743;94
2023.52 (25.12.2023 - 31.12.2023);Н;579;0;0;57;0;699;4;5;6;6;13;1;0;579;62
2024.1 (01.01.2024 - 07.01.2024);;;;;;;;;;;;;;;;
2024.2 (08.01.2024 - 14.01.2024);Н;623;0;0;139;0;623;0;11;4;7;10;5;3;623;46
2024.3 (15.01.2024 - 21.01.2024);Н;557;0;0;91;0;557;1;3;13;3;12;7;2;557;17
2024.4 (22.01.2024 - 28.01.2024);Н;477;0;0;60;0;477;1;2;12;4;8;7;1;477;26
2024.5 (29.01.2024 - 04.02.2024);Н;473;0;0;41;0;473;1;5;7;7;10;10;0;473;26
2024.6 (05.02.2024 - 11.02.2024);Н;376;0;0;27;0;376;2;1;10;2;10;8;0;376;22
2024.7 (12.02.2024 - 18.02.2024);Н;256;0;0;13;0;256;0;0;14;1;8;6;0;256;194
2024.8 (19.02.2024 - 25.02.2024);Н;288;0;0;12;0;288;4;2;13;3;14;18;3;288;47
2024.9 (26.02.2024 - 03.03.2024);Н;329;0;0;7;1;329;3;0;16;5;3;20;0;329;52
2024.10 (04.03.2024 - 10.03.2024);Н;273;0;0;3;0;273;1;3;12;5;13;21;0;273;38
2024.11 (11.03.2024 - 17.03.2024);Н;229;0;0;3;0;229;1;3;7;9;15;18;0;229;38
2024.12 (18.03.2024 - 24.03.2024);Н;326;0;0;2;0;326;1;0;6;7;17;8;0;326;37
2024.13 (25.03.2024 - 31.03.2024);Н;240;0;0;3;1;240;7;2;7;6;14;16;1;240;18
2024.14 (01.04.2024 - 07.04.2024);Н;269;0;0;1;0;269;10;1;10;17;16;22;1;269;23
2024.15 (08.04.2024 - 14.04.2024);Н;135;0;0;0;1;135;6;1;3;11;15;4;0;135;7
2024.16 (15.04.2024 - 21.04.2024);Н;82;0;0;0;0;82;2;0;2;4;5;1;0;82;1
2024.17 (22.04.2024 - 28.04.2024);Н;46;0;0;0;1;46;1;0;1;6;3;1;0;46;1
2024.18 (29.04.2024 - 05.05.2024);;;;;;;;;;;;;;;;
2024.19 (06.05.2024 - 12.05.2024);Н;56;0;0;0;0;56;1;0;0;12;1;2;1;56;0
2024.20 (13.05.2024 - 19.05.2024);Н;68;0;0;0;0;68;1;0;0;9;6;1;1;68;0
2024.21 (20.05.2024 - 26.05.2024);Н;70;0;0;0;0;70;2;1;0;8;2;0;0;70;1
2024.22 (27.05.2024 - 02.06.2024);Н;52;0;0;0;0;58;1;0;1;10;0;0;0;58;0
2024.23 (03.06.2024 - 09.06.2024);Н;47;0;0;0;1;47;0;0;0;5;0;0;0;47;0
2024.24 (10.06.2024 - 16.06.2024);Н;25;0;0;0;0;25;2;0;0;0;0;0;0;25;0
2024.25 (17.06.2024 - 23.06.2024);Н;49;0;0;0;0;49;1;0;0;4;0;0;0;49;0
2024.26 (24.06.2024 - 30.06.2024);Н;42;0;0;0;0;42;1;1;0;5;0;0;0;42;0
2024.27 (01.07.2024 - 07.07.2024);Н;61;0;0;0;0;61;1;1;0;7;1;0;1;61;0
2024.28 (08.07.2024 - 14.07.2024);Н;53;0;0;0;0;53;1;1;0;3;0;0;0;53;0
2024.29 (15.07.2024 - 21.07.2024);Н;53;0;0;0;0;53;1;0;0;13;0;0;0;53;0
2024.30 (22.07.2024 - 28.07.2024);Н;52;0;0;0;0;52;1;0;0;3;0;0;0;52;1
2024.31 (29.07.2024 - 04.08.2024);;;;;;;;;;;;;;;;
2024.32 (05.08.2024 - 11.08.2024);Н;26;0;0;0;0;26;0;0;0;3;0;0;1;26;0
2024.33 (12.08.2024 - 18.08.2024);Н;29;0;0;0;0;29;0;0;0;1;1;0;0;29;0
2024.34 (19.08.2024 - 25.08.2024);Н;24;0;0;0;0;24;1;1;0;1;0;0;0;24;0
2024.35 (26.08.2024 - 01.09.2024);Н;32;0;0;0;0;32;0;0;0;4;0;0;0;32;0
2024.36 (02.09.2024 - 08.09.2024);;;;;;;;;;;;;;;;
2024.37 (09.09.2024 - 15.09.2024);;;;;;;;;;;;;;;;
2024.38 (16.09.2024 - 22.09.2024);Н;22;0;0;0;0;22;1;0;0;5;0;0;0;22;2
2024.39 (23.09.2024 - 29.09.2024);Н;216;0;0;0;0;216;1;2;0;46;4;0;0;216;0
2024.40 (30.09.2024 - 06.10.2024);Н;409;0;0;0;0;409;7;1;0;46;9;0;0;409;0
2024.41 (07.10.2024 - 13.10.2024);Н;345;0;0;0;0;345;7;2;0;51;5;0;5;345;0
2024.42 (14.10.2024 - 20.10.2024);Н;481;0;0;0;0;481;11;5;0;56;13;0;5;481;0
2024.43 (21.10.2024 - 27.10.2024);Н;475;0;0;0;0;475;11;6;0;42;26;0;8;475;6
2024.44 (28.10.2024 - 03.11.2024);Н;475;0;0;0;0;475;11;4;0;40;32;0;15;475;2
;;;;;;;;;;;;;;;;
